--
-- Gathered from https://www.scoreboard.com/en/mls-2018/results/
-- ';' separated
-- [DATE, DD.MM.YYYY];[HOMEID];[AWAYID];[HOMESCORE] : [AWAYSCORE]
--
29.09.2018;b1ab1613-d652-403f-8c7f-8ca7dfd37804;431c60bd-c4ae-4253-b554-58af9cf46dd3;2 : 1
29.09.2018;f2a09e6a-0cfd-48b4-bc0d-f98c614809fd;2313ec02-1e1d-4fd1-8278-57ed5bc64370;0 : 0
29.09.2018;55f7f5fd-29d2-4a76-b497-5ca4baef5fa1;853ce6e8-987e-4cf0-846a-def18d96913a;4 : 1
29.09.2018;34e2f043-ca34-4743-847b-17f2000c8e16;93eba939-30e6-4702-b854-87051111edbd;5 : 0
29.09.2018;aa050628-4f65-4997-abef-e3fd6b80d07e;85f9cdc1-0d91-41bf-b37b-7d91c98c7e34;4 : 0
29.09.2018;821e5563-bb3c-4a5e-8d56-79e25efb49cd;f0b354a2-f8db-4b52-a180-f23816cbd6ac;3 : 1
26.09.2018;431c60bd-c4ae-4253-b554-58af9cf46dd3;821e5563-bb3c-4a5e-8d56-79e25efb49cd;2 : 0
23.09.2018;c5a068cc-70cb-420d-ae6c-da7d8d6f96c7;aa050628-4f65-4997-abef-e3fd6b80d07e;3 : 0
23.09.2018;ce6a772c-9a31-4b10-81b1-f59ec6346b31;028c0edc-b63e-4f72-8e4b-34d1a78e3671;1 : 2
23.09.2018;2313ec02-1e1d-4fd1-8278-57ed5bc64370;24f4602c-2a47-4bb3-9a5d-a801f61aeb05;2 : 0
22.09.2018;b1ab1613-d652-403f-8c7f-8ca7dfd37804;f021bbaf-ea80-468a-8cd0-b3674327dee5;3 : 2
22.09.2018;f2a09e6a-0cfd-48b4-bc0d-f98c614809fd;85f9cdc1-0d91-41bf-b37b-7d91c98c7e34;2 : 1
22.09.2018;93eba939-30e6-4702-b854-87051111edbd;431c60bd-c4ae-4253-b554-58af9cf46dd3;1 : 1
22.09.2018;853ce6e8-987e-4cf0-846a-def18d96913a;821e5563-bb3c-4a5e-8d56-79e25efb49cd;2 : 2
22.09.2018;fd36043a-ce04-46e7-99ae-63406444834b;ee42400a-6bdf-4b68-ac30-437f50368b7e;0 : 0
22.09.2018;dcf07e65-0570-4bbf-9eb4-743d1cd52e36;52f41053-5060-4535-9aca-03c0a6a41a82;2 : 0
22.09.2018;9df3a517-2754-438b-bfe3-9d081aefa350;55f7f5fd-29d2-4a76-b497-5ca4baef5fa1;2 : 0
22.09.2018;f0b354a2-f8db-4b52-a180-f23816cbd6ac;07979bc9-ac85-47f7-9d98-d5275039d627;2 : 0
19.09.2018;07979bc9-ac85-47f7-9d98-d5275039d627;dcf07e65-0570-4bbf-9eb4-743d1cd52e36;3 : 4
19.09.2018;aa050628-4f65-4997-abef-e3fd6b80d07e;2313ec02-1e1d-4fd1-8278-57ed5bc64370;0 : 1
19.09.2018;f021bbaf-ea80-468a-8cd0-b3674327dee5;f2a09e6a-0cfd-48b4-bc0d-f98c614809fd;3 : 2
16.09.2018;821e5563-bb3c-4a5e-8d56-79e25efb49cd;fd36043a-ce04-46e7-99ae-63406444834b;4 : 0
16.09.2018;34e2f043-ca34-4743-847b-17f2000c8e16;9df3a517-2754-438b-bfe3-9d081aefa350;3 : 3
15.09.2018;f0b354a2-f8db-4b52-a180-f23816cbd6ac;853ce6e8-987e-4cf0-846a-def18d96913a;1 : 1
15.09.2018;07979bc9-ac85-47f7-9d98-d5275039d627;24f4602c-2a47-4bb3-9a5d-a801f61aeb05;1 : 5
15.09.2018;ce6a772c-9a31-4b10-81b1-f59ec6346b31;aa050628-4f65-4997-abef-e3fd6b80d07e;1 : 2
15.09.2018;52f41053-5060-4535-9aca-03c0a6a41a82;b1ab1613-d652-403f-8c7f-8ca7dfd37804;1 : 1
15.09.2018;ee42400a-6bdf-4b68-ac30-437f50368b7e;f021bbaf-ea80-468a-8cd0-b3674327dee5;4 : 1
